Time (UTC) , i value , j value , latitude , longitude ," u (west to east wind, m/s) "," v (south to north wind, m/s) ", temperature (C) , relative humidity (%) , vertical velocity (cm/s) , pressure (mb) , water vapor  (g/kg) , turbulent kinetic energy (m^2/s^2) , precipitation rate (mm/hr), sensible heat flux (W/m^2) , Latent heat flux (W/m^2) , tracer concentration,leakage,classify_pred,regression_pred
17.1,78,23,33.236,-81.614,3.80225,0.25922,14.74521,36.66322,-2.98305,993.27643,3.92006,1.02145,0,331.42682,0.50235,0.0,0,0,0.0
17.1,55,7,33.22,-81.637,3.64358,0.86856,14.79771,37.15955,-0.26452,994.85144,3.98042,0.83187,0,331.45001,0.55963,0.0,0,0,0.0
17.1,48,26,33.239,-81.644,3.68614,0.57069,14.47968,37.68637,-11.87323,992.28839,3.9638,0.8326,0,212.16449,1.21723,0.0,0,0,0.0
17.1,55,59,33.272,-81.637,3.59701,0.32536,14.64402,37.12064,1.92447,993.07465,3.94352,0.75316,0,210.39447,1.17393,0.0,0,0,0.0
17.1,24,31,33.244,-81.668,3.61867,1.00972,14.43062,38.07647,3.04212,992.87781,3.98952,0.68902,0,259.99701,1.10846,0.0,0,0,0.0
17.1,31,36,33.249,-81.661,3.63201,1.05312,14.33642,38.1243,-1.99998,991.53125,3.97535,0.69314,0,200.7171,2.53755,0.0,0,0,0.0
17.1,49,68,33.281,-81.643,3.83497,0.14562,14.26109,38.09856,-1.65686,991.44843,3.95336,0.6646,0,204.72379,1.49309,0.0,0,0,0.0
17.1,72,12,33.225,-81.62,3.58478,0.51944,14.75394,36.85738,10.76303,991.83112,3.94891,0.96925,0,327.16156,0.40017,0.0,0,0,0.0
17.1,52,65,33.278,-81.64,3.66313,0.13793,14.33681,37.86106,4.21908,991.53345,3.94799,0.6751,0,210.31378,1.11996,0.0,0,0,0.0
17.1,27,40,33.253,-81.665,3.47497,0.91042,14.49253,37.80552,1.6891,992.25507,3.97982,0.71484,0,203.63022,2.27916,0.0,0,0,0.0
17.1,58,9,33.222,-81.634,3.57322,0.82405,14.84388,36.98047,3.0303,994.49872,3.97467,0.89932,0,333.45972,0.52141,0.0,0,0,0.0
17.1,22,47,33.26,-81.67,3.35004,0.61739,14.80674,37.18217,-1.17442,994.52063,3.98655,0.81603,0,204.20717,1.71321,0.0,0,0,0.0
17.1,20,67,33.28,-81.672,3.48364,0.27006,14.48683,37.95428,-2.39291,992.31714,3.99373,0.82018,0,197.02226,1.87553,0.0,0,0,0.0
17.1,26,8,33.221,-81.666,3.2923,0.62325,14.55688,38.26017,3.78796,993.48468,4.03968,0.78026,0,288.42957,26.07145,0.0,0,0,0.0
17.1,14,7,33.22,-81.678,3.16026,0.50935,14.53158,38.3629,-3.1437,993.43298,4.044,0.84311,0,188.69624,49.40791,0.0,0,0,0.0
17.1,40,5,33.218,-81.652,3.7238,0.68789,14.43312,38.20531,-5.82395,993.07898,4.00287,0.69385,0,223.38087,1.13062,0.0,0,0,0.0
17.1,47,27,33.24,-81.645,3.74508,0.59779,14.413,37.83007,-9.03541,991.8197,3.96342,0.81007,0,212.80716,1.15809,0.0,0,0,0.0
17.1,75,47,33.26,-81.617,3.68496,0.71925,14.57903,36.95042,-1.98219,991.50714,3.91497,0.94075,0,329.81113,0.74308,0.0,0,0,0.0
17.1,11,45,33.258,-81.681,3.36265,0.66781,14.74732,37.44609,4.30604,993.43555,4.00366,0.9298,0,329.54739,0.988,0.0,0,0,0.0
17.1,16,66,33.279,-81.676,3.38064,0.33188,14.52859,37.91656,0.98801,992.35931,4.00056,0.85696,0,292.51047,1.20434,0.0,0,0,0.0
17.1,41,66,33.279,-81.651,3.48656,0.17706,14.50628,37.66996,4.66588,993.24603,3.96512,0.6956,0,198.21211,1.48407,0.0,0,0,0.0
